,Contig,Breadth,Depth avg,Depth median,readsGB,expected_value,expected_value_int,err,AE,RAE,std_res
0,NC_014328.1.region004,1.0,25.51092315346692,24.0,0.5,29.656314161435688,30.0,-5.656314161435688,5.656314161435688,0.190728832,-1.850550444358735
1,NZ_CP053893.1.region001,1.0,25.206252029126663,25.0,0.5,29.656314161435688,30.0,-4.656314161435688,4.656314161435688,0.1570092,-1.5233850162119669
2,NZ_LT906470.1.region001,1.0,26.80271902175977,26.0,0.5,29.656314161435688,30.0,-3.656314161435688,3.656314161435688,0.12328956799999999,-1.1962195880651987
3,NZ_CP053893.1.region004,1.0,27.139759159097867,25.0,0.5,29.656314161435688,30.0,-4.656314161435688,4.656314161435688,0.1570092,-1.5233850162119669
4,NZ_CP053893.1.region003,1.0,25.65347651269981,25.0,0.5,29.656314161435688,30.0,-4.656314161435688,4.656314161435688,0.1570092,-1.5233850162119669
5,NZ_CP053893.1.region002,1.0,141.74166918352964,27.0,0.5,29.656314161435688,30.0,-2.656314161435688,2.656314161435688,0.08956993599999999,-0.8690541599184304
6,NZ_CP053893.1.region005,1.0,24.56006965475469,24.0,0.5,29.656314161435688,30.0,-5.656314161435688,5.656314161435688,0.190728832,-1.850550444358735
7,NC_014328.1.region003,1.0,26.601580570547416,26.0,0.5,29.656314161435688,30.0,-3.656314161435688,3.656314161435688,0.12328956799999999,-1.1962195880651987
8,NZ_CP053893.1.region006,1.0,30.34763969171484,27.0,0.5,29.656314161435688,30.0,-2.656314161435688,2.656314161435688,0.08956993599999999,-0.8690541599184304
9,NC_014328.1.region001,1.0,25.3936205376818,25.0,0.5,29.656314161435688,30.0,-4.656314161435688,4.656314161435688,0.1570092,-1.5233850162119669
10,NC_014328.1.region005,1.0,28.406558288175628,25.0,0.5,29.656314161435688,30.0,-4.656314161435688,4.656314161435688,0.1570092,-1.5233850162119669
11,NZ_LT906470.1.region002,1.0,27.441823704438384,26.0,0.5,29.656314161435688,30.0,-3.656314161435688,3.656314161435688,0.12328956799999999,-1.1962195880651987
12,NZ_LT906470.1.region003,1.0,23.871687715269804,24.0,0.5,29.656314161435688,30.0,-5.656314161435688,5.656314161435688,0.190728832,-1.850550444358735
13,NC_014328.1.region002,1.0,24.85179349824064,25.0,0.5,29.656314161435688,30.0,-4.656314161435688,4.656314161435688,0.1570092,-1.5233850162119669
14,NZ_LT906445.1.region001,1.0,24.569981583793737,24.0,0.5,29.656314161435688,30.0,-5.656314161435688,5.656314161435688,0.190728832,-1.850550444358735
15,NZ_CP020566.1.region001,1.0,24.604944523732797,24.0,0.5,29.656314161435688,30.0,-5.656314161435688,5.656314161435688,0.190728832,-1.850550444358735
